iter	Accuracy	MultiClass
674	0.8895157499	0.4908426031
675	0.8899858956	0.4903691287
676	0.8899858956	0.4899733615
677	0.8904560414	0.4894777916
678	0.8904560414	0.4890696853
679	0.8899858956	0.4887976528
680	0.8918664786	0.4881132096
681	0.8923366244	0.4875923304
682	0.8923366244	0.4871535774
683	0.8928067701	0.4868955482
684	0.8932769158	0.4863645682
685	0.8946873531	0.4860172388
686	0.8928067701	0.4855598912
687	0.8942172073	0.4851470216
688	0.8946873531	0.4847855741
689	0.8946873531	0.4843921025
690	0.8946873531	0.4839594903
691	0.8942172073	0.4836453329
692	0.8942172073	0.4831126311
693	0.8946873531	0.4826012214
694	0.8946873531	0.4822884987
695	0.8946873531	0.4819144252
696	0.8946873531	0.4817564282
697	0.8956276446	0.4813561271
698	0.8942172073	0.4810970936
699	0.8937470616	0.4806232461
700	0.8960977903	0.4801601882
701	0.8960977903	0.4797822695
702	0.8951574988	0.4795549731
703	0.8942172073	0.4793550234
704	0.8946873531	0.4790390868
705	0.8956276446	0.4787277415
706	0.8956276446	0.478228183
707	0.8960977903	0.4777701754
708	0.8965679361	0.4774508815
709	0.8970380818	0.4770382127
710	0.8975082276	0.4764901015
711	0.8956276446	0.4760775474
712	0.8956276446	0.4756593404
713	0.8951574988	0.475163914
714	0.8960977903	0.4748286654
715	0.8965679361	0.4745815117
716	0.8965679361	0.4742575979
717	0.8970380818	0.4738374108
718	0.8970380818	0.473472606
719	0.8965679361	0.4731861396
720	0.8970380818	0.4725647116
721	0.8979783733	0.4721893755
722	0.898448519	0.4718888771
723	0.8989186648	0.4714611145
724	0.898448519	0.471208107
725	0.898448519	0.4708630733
726	0.8998589563	0.4704798172
727	0.9007992478	0.4698890647
728	0.8993888105	0.4696473058
729	0.8993888105	0.469443597
730	0.8993888105	0.4690271691
731	0.8998589563	0.468741707
732	0.8998589563	0.4683686953
733	0.900329102	0.4679994139
734	0.8993888105	0.4678000955
735	0.8998589563	0.4674072553
736	0.9007992478	0.4670987221
737	0.9007992478	0.4668139201
738	0.8998589563	0.4665462205
739	0.9007992478	0.4662487925
740	0.900329102	0.46591363
741	0.900329102	0.4656792171
742	0.900329102	0.4653465511
743	0.8998589563	0.4650567274
744	0.9007992478	0.464737003
745	0.8989186648	0.4643571618
746	0.8993888105	0.4639901187
747	0.8993888105	0.4637781456
748	0.898448519	0.4630718079
749	0.8998589563	0.4627499027
750	0.900329102	0.462463838
751	0.9012693935	0.4620592326
752	0.900329102	0.4618881505
753	0.9007992478	0.4615667905
754	0.9007992478	0.4611127142
755	0.9012693935	0.4606995289
756	0.9012693935	0.460360349
757	0.902209685	0.460020624
758	0.9012693935	0.4596815015
759	0.9026798307	0.4591884281
760	0.9026798307	0.4589268981
761	0.9026798307	0.4586465725
762	0.900329102	0.4583546827
763	0.9007992478	0.4580570825
764	0.9017395393	0.4574332728
765	0.9012693935	0.4569632132
766	0.9012693935	0.4565412183
767	0.9012693935	0.4563763918
768	0.9017395393	0.4560892368
769	0.902209685	0.4558520691
770	0.904090268	0.4554803774
771	0.9036201222	0.4551536513
772	0.9055007052	0.454642299
773	0.905970851	0.4543223737
774	0.905970851	0.4540115737
775	0.9064409967	0.4537943206
776	0.905970851	0.4534716694
777	0.9055007052	0.4531010967
778	0.9055007052	0.4526494308
779	0.9050305595	0.4522353846
780	0.9064409967	0.4519256463
781	0.9064409967	0.4515235087
782	0.905970851	0.4511832958
783	0.9078514339	0.4506458593
784	0.9078514339	0.4502384704
785	0.9083215797	0.4499507701
786	0.9083215797	0.4494828339
787	0.9083215797	0.4492449202
788	0.9083215797	0.4487518181
789	0.9087917254	0.4484056079
790	0.9092618712	0.4481262006
791	0.9092618712	0.44782553
792	0.9106723084	0.4475618478
793	0.9102021627	0.4472702163
794	0.9097320169	0.4467294511
795	0.9092618712	0.4464068859
796	0.9097320169	0.4461964337
797	0.9102021627	0.4458025891
798	0.9102021627	0.4456422965
799	0.9092618712	0.4453403633
800	0.9087917254	0.4449553281
801	0.9083215797	0.4447281178
802	0.9087917254	0.4442566521
803	0.9087917254	0.4439832134
804	0.9092618712	0.4437235199
805	0.9097320169	0.4434017581
806	0.9092618712	0.4430789347
807	0.9087917254	0.4428380079
808	0.9087917254	0.442625461
809	0.9092618712	0.4422371259
810	0.9102021627	0.4419266414
811	0.9102021627	0.44156198
812	0.9111424542	0.4412993596
813	0.9111424542	0.4408570484
814	0.9111424542	0.4405778993
815	0.9130230371	0.4401135501
816	0.9116125999	0.4397554599
817	0.9134931829	0.4392999202
818	0.9134931829	0.4388531038
819	0.9139633286	0.4385542984
820	0.9125528914	0.4381829223
821	0.9125528914	0.4378552493
822	0.9134931829	0.4375134295
823	0.9144334744	0.437246849
